09:08:22 [INFO] Device=cpu | Perfil=quick | red MLP64x4 (12737 params)
09:13:50 [INFO] [Adam 500/5000  10.0%] loss=9.9354e+00  pde=6.057e-01  bc=1.866e-01
09:19:12 [INFO] [Adam 1000/5000  20.0%] loss=2.6594e+00  pde=7.127e-01  bc=3.893e-02
09:24:37 [INFO] [Adam 1500/5000  30.0%] loss=7.5765e-01  pde=4.241e-01  bc=6.671e-03
09:29:59 [INFO] [Adam 2000/5000  40.0%] loss=7.1781e-01  pde=3.916e-01  bc=6.524e-03
09:35:28 [INFO] [Adam 2500/5000  50.0%] loss=5.1111e-01  pde=3.115e-01  bc=3.993e-03
09:41:10 [INFO] [Adam 3000/5000  60.0%] loss=8.2080e-01  pde=3.754e-01  bc=8.909e-03
09:46:54 [INFO] [Adam 3500/5000  70.0%] loss=4.4819e-01  pde=2.731e-01  bc=3.501e-03
09:52:46 [INFO] [Adam 4000/5000  80.0%] loss=5.2397e-01  pde=2.823e-01  bc=4.833e-03
09:58:25 [INFO] [Adam 4500/5000  90.0%] loss=8.3399e-01  pde=3.549e-01  bc=9.582e-03
10:03:51 [INFO] [Adam 5000/5000  100.0%] loss=4.7142e-01  pde=3.014e-01  bc=3.400e-03
10:03:51 [INFO] L-BFGS start — Adam final loss (baseline): 4.7142e-01
10:04:06 [INFO] [LBFGS 1/25  99.5%] loss=8.9040e-01
10:04:20 [INFO] [LBFGS 2/25  99.5%] loss=3.7076e-01
10:04:34 [INFO] [LBFGS 3/25  99.6%] loss=2.8595e-01
10:04:49 [INFO] [LBFGS 4/25  99.6%] loss=2.6438e-01
10:05:04 [INFO] [LBFGS 5/25  99.6%] loss=2.4141e-01
10:05:19 [INFO] [LBFGS 6/25  99.6%] loss=2.1907e-01
10:05:34 [INFO] [LBFGS 7/25  99.6%] loss=2.0713e-01
10:05:49 [INFO] [LBFGS 8/25  99.7%] loss=1.8976e-01
10:06:03 [INFO] [LBFGS 9/25  99.7%] loss=1.7908e-01
10:06:17 [INFO] [LBFGS 10/25  99.7%] loss=1.6378e-01
10:06:33 [INFO] [LBFGS 11/25  99.7%] loss=1.5351e-01
10:06:47 [INFO] [LBFGS 12/25  99.7%] loss=1.4042e-01
10:07:01 [INFO] [LBFGS 13/25  99.8%] loss=1.2590e-01
10:07:15 [INFO] [LBFGS 14/25  99.8%] loss=1.1481e-01
10:07:32 [INFO] [LBFGS 15/25  99.8%] loss=1.0404e-01
10:07:47 [INFO] [LBFGS 16/25  99.8%] loss=9.7028e-02
10:08:01 [INFO] [LBFGS 17/25  99.8%] loss=8.9616e-02
10:08:16 [INFO] [LBFGS 18/25  99.9%] loss=8.2071e-02
10:08:30 [INFO] [LBFGS 19/25  99.9%] loss=7.4236e-02
10:08:44 [INFO] [LBFGS 20/25  99.9%] loss=6.7617e-02
10:08:58 [INFO] [LBFGS 21/25  99.9%] loss=6.4642e-02
10:09:12 [INFO] [LBFGS 22/25  99.9%] loss=6.1530e-02
10:09:26 [INFO] [LBFGS 23/25  100.0%] loss=5.8735e-02
10:09:41 [INFO] [LBFGS 24/25  100.0%] loss=5.6218e-02
10:09:56 [INFO] [LBFGS 25/25  100.0%] loss=5.4251e-02
10:09:56 [INFO] L-BFGS done — restored best state (loss=5.4251e-02)
10:09:56 [INFO] Modelo guardado: C:\usr\ths_mia_fiis\tesis_MIA_lk\examples\kim_2024_154kv_bedding\results\model_final.pt
