17:03:56 [INFO] Device=cpu | Perfil=quick | red MLP64x4 (12737 params)
17:04:48 [INFO] [Adam 500/5000  10.0%] loss=3.8982e-04  pde=3.517e-04  bc=3.813e-06
17:05:24 [INFO] [Adam 1000/5000  20.0%] loss=5.1962e-05  pde=4.936e-05  bc=2.606e-07
17:06:00 [INFO] [Adam 1500/5000  30.0%] loss=3.5326e-05  pde=3.354e-05  bc=1.783e-07
17:06:40 [INFO] [Adam 2000/5000  40.0%] loss=1.9447e-05  pde=1.836e-05  bc=1.085e-07
17:07:17 [INFO] [Adam 2500/5000  50.0%] loss=3.0330e-04  pde=1.351e-05  bc=2.898e-05
17:07:56 [INFO] [Adam 3000/5000  60.0%] loss=1.1050e-05  pde=1.045e-05  bc=5.987e-08
17:08:35 [INFO] [Adam 3500/5000  70.0%] loss=6.8549e-06  pde=6.228e-06  bc=6.270e-08
17:09:24 [INFO] [Adam 4000/5000  80.0%] loss=8.3752e-06  pde=6.847e-06  bc=1.528e-07
17:10:24 [INFO] [Adam 4500/5000  90.0%] loss=6.4493e-06  pde=4.430e-06  bc=2.019e-07
17:11:13 [INFO] [Adam 5000/5000  100.0%] loss=4.0671e-06  pde=2.931e-06  bc=1.136e-07
17:11:13 [INFO] Modelo guardado: C:\usr\ths_mia_fiis\tesis_MIA_lk\examples\xlpe_three_trefoils\results\model_final.pt
