19:02:06 [INFO] Device=cpu | Perfil=quick | red MLP64x4 (12737 params)
19:03:00 [INFO] [Adam 500/5000  10.0%] loss=1.2325e-04  pde=1.159e-04  bc=7.338e-07
19:03:47 [INFO] [Adam 1000/5000  20.0%] loss=1.0021e-03  pde=1.562e-05  bc=9.865e-05
19:04:36 [INFO] [Adam 1500/5000  30.0%] loss=1.5215e-05  pde=5.887e-06  bc=9.328e-07
19:05:24 [INFO] [Adam 2000/5000  40.0%] loss=1.4202e-05  pde=3.742e-06  bc=1.046e-06
19:06:14 [INFO] [Adam 2500/5000  50.0%] loss=2.7655e-06  pde=2.283e-06  bc=4.824e-08
19:06:59 [INFO] [Adam 3000/5000  60.0%] loss=1.8458e-06  pde=1.717e-06  bc=1.285e-08
19:07:38 [INFO] [Adam 3500/5000  70.0%] loss=1.3825e-06  pde=1.290e-06  bc=9.239e-09
19:08:14 [INFO] [Adam 4000/5000  80.0%] loss=1.0557e-06  pde=9.678e-07  bc=8.792e-09
19:08:49 [INFO] [Adam 4500/5000  90.0%] loss=1.1455e-06  pde=8.022e-07  bc=3.433e-08
19:09:23 [INFO] [Adam 5000/5000  100.0%] loss=7.7367e-07  pde=6.474e-07  bc=1.263e-08
19:09:23 [INFO] Modelo guardado: C:\usr\ths_mia_fiis\tesis_MIA_lk\examples\xlpe_trefoil\results\model_final.pt
